ID;Catégorie;Commande;Préconditions;Input;Étapes;Résultat attendu;Réponse IRC attendue;Priorité;Pass/Fail;Notes
TC062;Connexion;QUIT;Client enregistré;QUIT\r\n;Quitter;Connexion fermée proprement;Déconnexion;P0;;
TC063;Connexion;QUIT;Client enregistré;QUIT :Goodbye\r\n;Quitter avec message;Clients concernés reçoivent QUIT;QUIT broadcast;P0;;
TC064;Connexion;QUIT;Client enregistré;QUIT goodbye now\r\n;Quit avec plusieurs paramètres;Parsing robuste;Déconnexion;P1;;
TC065;Connexion;QUIT;Client enregistré;QUIT\r\nQUIT\r\n;QUIT deux fois;Pas de double-free/crash;Connexion fermée proprement;P0;;
TC066;Connexion;QUIT;Client enregistré;Fermer brutalement socket;Déconnexion TCP sans QUIT;Serveur nettoie client;Pas de crash;P0;;
TC067;Channels;JOIN;Client enregistré;JOIN #test\r\n;Rejoindre channel inexistant;Channel créé et client rejoint;JOIN/broadcast approprié;P0;;
TC068;Channels;JOIN;Client enregistré;JOIN test\r\n;JOIN sans #;Selon règles channel;Erreur ou refus;P1;;
TC069;Channels;JOIN;Client enregistré;JOIN #test\r\nJOIN #test\r\n;Rejoindre deux fois;Pas de doublon dans membres;Erreur ou confirmation appropriée;P0;;
TC070;Channels;JOIN;Client enregistré;JOIN #test,#foo\r\n;Rejoindre plusieurs channels;Les deux sont rejoints;JOIN pour chaque;P0;;
TC071;Channels;JOIN;Client enregistré;JOIN #test,#foo key1,key2\r\n;JOIN multiple avec clés;Chaque clé associée correctement;JOIN ou erreurs appropriées;P1;;
TC072;Channels;JOIN;Client enregistré;JOIN\r\n;JOIN sans paramètre;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC073;Channels;JOIN;Client enregistré;JOIN #\r\n;Channel name minimal;Selon règles;Accepté ou refusé;P1;;
TC074;Channels;JOIN;Client enregistré;JOIN #test\r\n;Channel avec caractères valides;Rejoint;JOIN;P0;;
TC075;Channels;JOIN;Client enregistré;JOIN ##test\r\n;Channel commençant par ##;Selon parser;Erreur ou création selon règles;P1;;
TC076;Channels;JOIN;Client enregistré;JOIN #test!@$\r\n;Caractères spéciaux dans channel;Refusé si invalides;403 ERR_NOSUCHCHANNEL;P1;;
TC077;Channels;JOIN;Client enregistré;JOIN #test with spaces\r\n;Espaces dans channel;Parser robuste;Erreur appropriée;P0;;
TC078;Channels;JOIN;Client enregistré;JOIN #test :message\r\n;Trailing parameter inattendu;Pas de crash;Erreur ou ignore;P1;;
TC079;Channels;JOIN;Client enregistré;JOIN #test,#test\r\n;Même channel plusieurs fois dans une commande;Pas de doublon;JOIN une seule fois ou comportement cohérent;P1;;
TC080;Channels;JOIN;Client enregistré;JOIN #a,#b,#c,...;Nombre de channels élevé;Serveur reste stable;Réponses correctes;P1;;
TC081;Channels;PART;Client dans #test;PART #test\r\n;Quitter channel;Client retiré;PART broadcast;P0;;
TC082;Channels;PART;Client dans #test;PART\r\n;PART sans channel;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC083;Channels;PART;Client dans #test;PART #unknown\r\n;PART channel non rejoint;Erreur;442 ERR_NOTONCHANNEL;P0;;
TC084;Channels;PART;Client dans #test;PART #test :bye\r\n;PART avec message;Message transmis;PART :bye;P1;;
TC085;Channels;PART;Client dans #test;PART #test extra\r\n;Paramètre supplémentaire;Parsing robuste;Erreur/comportement conforme;P1;;
TC086;Channels;PART;Client dans #a,#b;PART #a,#b\r\n;Quitter plusieurs channels;Les deux quittés;PART pour chacun;P0;;
TC087;Channels;TOPIC;Client opérateur dans #test;TOPIC #test :Hello\r\n;Définir topic;Topic modifié;TOPIC broadcast;P0;;
TC088;Channels;TOPIC;Client opérateur dans #test;TOPIC #test\r\n;Lire topic;Serveur retourne topic;332 RPL_TOPIC ou 331;P0;;
TC089;Channels;TOPIC;Client non membre;TOPIC #test :Hello\r\n;Modifier topic sans être membre;Refusé;442 ou 482;P0;;
TC090;Channels;TOPIC;Client dans channel +t;TOPIC #test :Hello\r\n;Non-op tente modifier topic;Refusé;482 ERR_CHANOPRIVSNEEDED;P0;;
TC091;Channels;TOPIC;Client op +t;TOPIC #test :Hello\r\n;Op modifie topic;Réussi;TOPIC broadcast;P0;;
TC092;Channels;TOPIC;Client op;TOPIC #test :\r\n;Effacer topic;Topic vide;TOPIC broadcast;P1;;
TC093;Channels;TOPIC;Client dans channel;TOPIC #test :Hello world IRC\r\n;Topic avec espaces;Topic exact conservé;TOPIC :Hello world IRC;P0;;
TC094;Channels;PRIVMSG;Deux clients dans #test;PRIVMSG #test :hello\r\n;Envoyer message channel;Tous les autres membres reçoivent;PRIVMSG #test :hello;P0;;
TC095;Channels;PRIVMSG;Deux clients dans #test;PRIVMSG #test hello\r\n;Message sans ':';Message simple correctement parsé;PRIVMSG #test :hello;P0;;
TC096;Channels;PRIVMSG;Deux clients dans #test;PRIVMSG #test :hello world\r\n;Message avec espaces;Message exact;PRIVMSG :hello world;P0;;
TC097;Channels;PRIVMSG;Client enregistré;PRIVMSG bob :hello\r\n;Message privé;Bob reçoit uniquement le message;PRIVMSG bob :hello;P0;;
TC098;Channels;PRIVMSG;Client enregistré;PRIVMSG unknown :hello\r\n;Destinataire inexistant;Erreur;401 ERR_NOSUCHNICK;P0;;
TC099;Channels;PRIVMSG;Client enregistré;PRIVMSG\r\n;PRIVMSG sans cible;Commande rejetée;411 ERR_NORECIPIENT;P0;;
TC100;Channels;PRIVMSG;Client enregistré;PRIVMSG bob\r\n;Cible sans message;Commande rejetée;412 ERR_NOTEXTTOSEND;P0;;
TC101;Channels;PRIVMSG;Client enregistré;PRIVMSG #unknown :hello\r\n;Channel inexistant;Erreur;403 ERR_NOSUCHCHANNEL;P0;;
TC102;Channels;PRIVMSG;Client hors #test;PRIVMSG #test :hello\r\n;Envoyer à channel sans être membre;Selon mode channel;Cannot send or error;P0;;
TC103;Channels;PRIVMSG;Client enregistré;PRIVMSG bob :\r\n;Message vide;Comportement conforme;Selon protocole;P1;;
TC104;Channels;PRIVMSG;Deux clients;PRIVMSG bob :hello\r\n;Expéditeur ne doit pas recevoir son propre message;Vérifier uniquement destinataire;Bob reçoit;P0;;
TC105;Channels;PRIVMSG;Client A dans #test, B hors channel;PRIVMSG #test :hello\r\n;A envoie;B ne reçoit rien;Broadcast limité au channel;P0;;
TC106;Channels;PRIVMSG;Client dans plusieurs channels;PRIVMSG #test :hello\r\n;Message channel;Seuls membres du channel reçoivent;Broadcast correct;P0;;
TC107;Channels;NOTICE;Client enregistré;NOTICE bob :hello\r\n;Envoyer NOTICE;Bob reçoit;NOTICE;P1;;
TC108;Channels;NOTICE;Client enregistré;NOTICE unknown :hello\r\n;NOTICE destinataire inexistant;Pas de réponse d'erreur selon convention IRC;Pas de numeric;P1;;
TC109;Channels;KICK;Client op + membre cible;KICK #test bob\r\n;Expulser membre;Bob est retiré;KICK broadcast;P0;;
TC110;Channels;KICK;Client non-op;KICK #test bob\r\n;Non-op tente kick;Refusé;482 ERR_CHANOPRIVSNEEDED;P0;;
TC111;Channels;KICK;Client op;KICK #test\r\n;KICK sans cible;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC112;Channels;KICK;Client op;KICK #test unknown\r\n;Kick utilisateur absent;Erreur appropriée;441 ERR_USERNOTINCHANNEL;P0;;
TC113;Channels;KICK;Client op;KICK #unknown bob\r\n;Kick channel inexistant;Erreur;403;P0;;
TC114;Channels;KICK;Client op;KICK #test bob :reason here\r\n;Kick avec raison;Bob reçoit raison;KICK :reason here;P0;;
TC115;Channels;INVITE;Client op;INVITE bob #test\r\n;Inviter utilisateur;Invitation enregistrée;341 RPL_INVITING;P0;;
TC116;Channels;INVITE;Client non-op;INVITE bob #test\r\n;Non-op invite;Selon mode i;Refusé si permissions nécessaires;P0;;
TC117;Channels;INVITE;Client op;INVITE unknown #test\r\n;Inviter utilisateur inexistant;Erreur;401;P0;;
TC118;Channels;INVITE;Client op;INVITE bob\r\n;INVITE sans channel;Commande rejetée;461;P1;;
TC119;Channels;INVITE;Client op;INVITE bob #unknown\r\n;Invitation channel inexistant;Erreur;403;P1;;
TC120;Channels;MODE;Client op dans #test;MODE #test\r\n;Lire modes channel;Serveur retourne modes actuels;324 R
